episode,step,result,reward,duration,kills,kills_zombie,kills_cone,kills_bucket,clicks,suns_collected,gravebusters,cherries,ices,mowers_used
172,82768,WIN,39.30,229.1,247,145,59,43,324,65,12,3,3,0
173,83248,WIN,9.45,221.5,224,119,67,38,352,42,8,2,2,1
174,83738,WIN,28.50,233.4,251,152,65,34,354,60,5,3,4,0
175,84198,WIN,33.45,214.9,237,133,72,32,309,49,9,3,3,0
176,84699,WIN,-9.15,221.3,210,130,49,31,350,47,8,1,3,3
177,85216,WIN,34.55,248.3,259,151,74,34,382,73,8,2,5,0
178,85683,WIN,33.80,219.7,254,156,71,27,293,73,12,3,4,0
179,86180,WIN,29.90,238.5,253,155,66,32,355,57,9,3,4,0
180,86562,LOSS,-11.95,177.9,158,97,36,25,230,40,7,2,1,1
181,87027,WIN,37.35,214.4,237,140,62,35,305,63,9,3,4,0
182,87463,WIN,36.60,212.9,237,142,68,27,323,48,9,2,3,0
183,87963,WIN,25.20,234.5,244,147,67,30,367,63,9,2,3,0
184,88411,LOSS,-23.75,204.1,194,125,48,21,286,45,7,2,2,2
185,88794,LOSS,-14.90,177.0,162,103,36,23,248,31,6,1,3,1
186,89309,WIN,12.25,249.1,261,160,63,38,393,48,8,2,4,1
187,89792,WIN,29.75,233.4,253,149,74,30,363,55,8,3,4,0
188,90331,WIN,34.90,252.2,267,169,64,34,371,76,10,3,4,0
189,90844,WIN,31.50,239.7,255,165,53,37,346,83,9,3,4,0
190,91256,LOSS,-38.85,171.1,127,87,28,12,196,34,11,0,1,2
191,91732,WIN,4.00,225.3,245,159,60,26,339,52,9,3,2,2
192,92217,WIN,24.55,226.4,246,138,71,37,347,47,5,3,5,0
193,92699,WIN,35.90,227.3,255,149,72,34,340,56,7,3,5,0
194,93175,WIN,9.45,232.3,239,130,79,30,369,50,7,2,4,1
195,93694,WIN,-5.90,245.2,232,131,64,37,408,39,8,1,4,3
196,94142,LOSS,-31.95,179.0,129,90,28,11,194,30,9,0,2,2
197,94526,LOSS,-19.10,175.2,151,102,24,25,254,31,7,1,1,2
198,94999,WIN,36.15,224.9,244,140,73,31,341,52,8,3,4,0
199,95494,WIN,-3.75,233.9,237,150,49,38,390,41,9,1,3,1
200,95988,LOSS,-24.45,204.3,175,112,43,20,245,55,9,1,3,3
201,96457,WIN,30.25,222.4,240,141,69,30,337,51,7,3,4,0
202,96908,WIN,36.95,211.3,236,152,54,30,312,55,8,2,2,0
203,97413,WIN,31.45,248.7,262,160,67,35,353,76,9,3,5,0
204,97872,WIN,39.50,215.1,239,142,54,43,302,80,11,3,4,0
205,98361,LOSS,-49.10,224.5,209,127,53,29,335,42,9,2,2,2
206,98828,WIN,37.60,221.7,234,139,61,34,337,67,9,3,4,0
207,99327,WIN,38.00,226.0,248,156,59,33,333,78,9,3,4,0
208,99821,WIN,28.75,238.8,254,154,63,37,391,47,6,2,4,0
209,100304,WIN,30.60,230.1,242,147,60,35,348,50,10,2,3,1
210,100745,WIN,38.95,211.8,243,152,60,31,301,66,9,3,4,0
211,101214,LOSS,-48.95,227.7,215,134,52,29,346,45,8,2,2,1
212,101730,WIN,7.15,251.4,258,147,72,39,396,62,6,2,3,0
213,102251,WIN,33.90,247.6,256,163,60,33,362,62,10,2,4,0
214,102768,WIN,32.60,241.1,250,158,60,32,357,53,9,2,3,0
215,103255,WIN,17.70,231.4,247,149,64,34,332,79,10,3,4,2
216,103748,WIN,15.75,229.8,240,138,65,37,381,47,6,2,3,0
217,104101,LOSS,-36.10,167.2,133,88,28,17,215,50,12,2,2,3
218,104573,WIN,32.00,227.5,249,150,70,29,324,68,9,3,3,0
219,105038,WIN,7.40,224.5,228,142,48,38,347,48,9,2,3,2
220,105536,WIN,23.45,239.8,256,148,64,44,372,67,11,3,3,1
221,106018,WIN,30.90,228.3,249,145,67,37,339,63,11,3,4,1
222,106512,WIN,4.85,240.0,227,138,60,29,353,58,14,1,4,2
223,106970,WIN,28.10,225.0,234,140,52,42,354,44,8,1,4,0
224,107366,LOSS,-23.25,181.9,155,111,26,18,245,44,10,1,1,2
225,107848,WIN,32.70,227.0,245,152,58,35,348,58,6,3,4,0
226,108373,WIN,32.25,251.5,257,148,77,32,389,54,9,3,4,0
227,108869,WIN,36.70,231.4,249,141,72,36,331,72,8,3,4,0
228,109356,WIN,37.05,227.9,244,148,72,24,322,56,7,3,3,0
229,109834,LOSS,-50.20,210.7,175,119,35,21,288,30,7,1,2,3
230,110312,WIN,22.35,223.9,241,155,52,34,323,48,7,3,3,1
231,110804,WIN,34.05,224.1,251,147,72,32,340,52,5,3,4,0
232,111292,WIN,35.50,228.0,244,149,64,31,325,71,10,3,4,0
233,111818,WIN,20.55,253.1,260,151,75,34,406,46,11,1,3,1
234,112311,WIN,-18.15,237.5,232,147,54,31,351,42,6,2,4,2
235,112811,WIN,-0.20,232.9,238,155,54,29,359,41,5,2,5,2
236,113308,WIN,31.65,238.0,262,152,73,37,347,58,8,3,4,0
237,113806,WIN,34.25,229.1,246,149,71,26,325,64,12,2,3,1
238,114319,WIN,34.45,241.5,272,167,67,38,360,61,10,3,4,0
239,114803,WIN,30.00,224.5,236,142,60,34,364,45,6,3,4,0
240,115291,WIN,30.95,225.1,241,146,72,23,341,39,5,2,3,0
241,115803,WIN,6.95,241.8,237,133,70,34,398,28,5,1,3,1
242,116243,WIN,29.55,207.8,226,135,56,35,306,62,7,3,3,0
243,116751,WIN,-7.45,235.3,227,141,55,31,369,40,9,2,2,3
244,117272,WIN,20.50,246.5,254,149,77,28,393,64,9,2,3,1
245,117726,WIN,17.50,223.0,247,151,59,37,364,48,8,2,3,0
246,118197,WIN,5.45,228.1,251,144,69,38,348,57,7,3,5,4
247,118688,WIN,11.30,235.0,245,137,76,32,364,64,9,3,3,1
248,119171,WIN,27.75,228.4,239,139,71,29,363,51,7,2,4,0
249,119727,WIN,30.75,243.4,257,159,69,29,372,56,9,2,3,0
